Meridian,Point Code,Point Name (pinyin),Chinese Name (hanzi),Location Description,Indications,Category,Element,Sex-specific Notes,Source
LU,LU5,On the anterior aspect of the elbow,,", at the cubital crease, in the depression lateral to the biceps brachii tendon. (Fig 15) WHO S tandard  a CUPU n C t U r E POI nt LOC at IO n S 9",,,Metal,,
LU,LU9,"On the anterolateral aspect of the wrist, between the radial styloid process",,"and the scaphoid bone, in the depression ulnar to the abductor pollicis longus tendon. (Fig 15)",,,Metal,,
LI,LI5,"On the posterolateral aspect of the wrist, at the radial side of the dorsal",,"wrist crease, distal to the radial styloid process, in the depression of the anatomical snuf fbox. (Fig 16)",,,Metal,,
LI,LI11,On the lateral aspect of the elbow,,", at the midpoint of the line connecting LU5 with the lateral epicondyle of the humerus. (Fig 16)",,,Metal,,
LI,LI15,"On the shoulder girdle, in the depression between the anterior end of",,lateral border of the acromion and the greater tubercle of the humerus.,,,Metal,,
ST,ST8,"On the head, 0.5 B-cun directly superior to the anterior hairline at the",,"corner of the forehead, 4.5 B-cun lateral to the anterior median line.",,,Earth,,
ST,ST30,"In the groin region, at the same level as the superior border of the pubic",,"symphysis, 2 B-cun lateral to the anterior median line, over the femoral artery . (Fig 15)",,,Earth,,
ST,ST34,"On the anterolateral aspect of the thigh, between the vastus lateralis",,"muscle and the lateral border of the rectus femoris tendon, 2 B-cun superior to the base of the patella. (Fig 15)",,Xi-Cleft,Earth,,
ST,ST35,"On the anterior aspect of the knee, in the depression lateral to the patellar",,ligament. (Fig 15),,,Earth,,
ST,ST41,"On the anterior aspect of the ankle, in the depression at the centre of the",,"front surface of the ankle joint, between the tendons of extensor hallucis longus and extensor digitorum longus.  (Fig 15)",,,Earth,,
SP,SP9,"On the tibial aspect of the leg, in the depression between the inferior",,border of the medial condyle of the tibia and the medial border of the tibia.,,,Earth,,
SP,SP12,"In the groin region, at the inguinal crease, lateral to the femoral artery .",,,,,Earth,,
BL,BL60,"On the posterolateral aspect of the ankle, in the depression between the",,prominence of the lateral malleolus and the calcaneal tendon. (Fig 16),,,Water,,
KI,KI3,"On the posteromedial aspect of the ankle, in the depression between the",,prominence of the medial malleolus and the calcaneal tendon. (Fig 16),,Source,Water,,
TE,TE17,"In the anterior region of the neck, posterior to the ear lobe, in the",,depression anterior to the inferior end of the mastoid process. (Fig 16),,,Fire,,
TE,TE20,"On the head, just superior to the auricular apex. (Fig 16)",,"GB7: On the head, at the junction of the vertical line of the posterior border of the temple hairline and the horizontal line of the apex of the auricle.",,,Fire,,
GB,GB9,"On the head, directly superior to the posterior border of the auricular root,",,2 B-cun superior to the hairline. (Fig 16),,,Wood,,
GB,GB12,"In the anterior region of the neck, in the depression posteroinferior to the",,mastoid process. (Fig 16) general guidelines for a cupuncture Point Locations 10,,,Wood,,
GB,GB20,"In the anterior region of the neck, inferior to the occipital bone, in the",,depression between the origins of sternocleidomastoid and the trapezius muscles. (Fig 16),,,Wood,,
